tstart,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,na,nb
135.85,438.2,383.3,415.8,403.0,409.6,398.0,325.3,364.5,337.0,365.5,362.7,379.1
136.87,398.1,371.6,416.7,386.2,384.2,404.8,360.5,317.5,349.7,376.3,375.5,326.2
137.90,435.3,403.0,406.8,399.0,392.9,423.5,381.1,328.3,336.0,343.9,403.0,333.2
138.92,388.2,401.1,383.3,419.7,400.8,393.1,373.3,364.5,368.3,365.5,348.9,311.6
139.94,436.3,373.6,362.7,421.6,374.3,389.1,361.5,356.7,339.9,351.8,371.5,325.2
140.97,391.2,408.0,432.4,405.9,373.3,383.4,360.6,382.2,360.5,372.4,367.6,320.3
141.99,401.1,392.2,413.7,394.2,401.8,376.4,352.8,350.8,354.6,348.8,377.4,334.0
143.02,390.1,399.1,415.8,400.0,379.2,408.8,362.6,355.8,363.5,365.5,363.6,317.4
144.04,376.6,391.2,406.9,407.8,400.8,403.9,345.8,319.5,331.1,343.9,370.5,335.0
145.06,403.9,422.7,353.9,410.9,372.4,394.2,334.1,369.4,345.8,352.7,356.7,354.7
146.09,382.4,396.2,386.3,441.2,351.8,375.5,370.4,352.8,359.5,384.1,374.5,358.6
147.11,418.7,392.2,399.0,398.0,370.3,397.0,363.6,395.0,346.8,339.1,374.4,314.5
148.14,403.9,410.9,410.8,386.3,383.2,393.1,337.0,365.6,350.6,394.9,367.6,359.6
149.16,365.6,402.0,374.5,403.0,386.1,398.0,358.6,390.1,348.7,355.7,354.7,333.0
